|Category|Year Created|Surface|Substrate|Signature|Image Size|img_url|Title|Artist Name|image_file
25|2D|1882|Pencil, Brush, Ink|Paper|Unknown|66.1 x 52.9 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/a78d757d871923299622aa1240aebb88.jpg|OLD MAN PRAYING|VINCENT VAN GOGH|images/vincent_van_gogh/a78d757d871923299622aa1240aebb88.jpg
26|2D|1885|Oil|Canvas|Unknown|9.625 x 14 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/f28074bc8a904cc2b42f5ef73a76cc7c.jpg|Boerderij|VINCENT VAN GOGH|images/vincent_van_gogh/f28074bc8a904cc2b42f5ef73a76cc7c.jpg
27|2D|1883|Oil|Paper, Panel|Unknown|13 x 20.125 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/277186d620166c2db37b6e2bc5bb0d64.jpg|LANDSCAPE WITH WINDSWEPT TREES|VINCENT VAN GOGH|images/vincent_van_gogh/277186d620166c2db37b6e2bc5bb0d64.jpg
28|2D|1888|Oil|Canvas|Unknown|14.25 x 9.875 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/b8e88218dbd5ded2662d5b089b252f9f.jpg|LE BÉBÉ MARCELLE ROULIN|VINCENT VAN GOGH|images/vincent_van_gogh/b8e88218dbd5ded2662d5b089b252f9f.jpg
29|2D|1889|Oil|Canvas|Unknown|23.75 x 29 inch|https://artbnk-art-images.s3.amazonaws.com/88e535fc4e87b1f2a36545612cf71907.jpg|PAYSAGE SOUS UN CIEL MOUVEMENTÉ|VINCENT VAN GOGH|images/vincent_van_gogh/88e535fc4e87b1f2a36545612cf71907.jpg
30|2D||Pen, Ink|Paper|Unknown|5.25 x 6.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/883d9c9f4a83098f275d954695fd6e74.jpg|JARDIN PUBLIC À ARLES|VINCENT VAN GOGH|images/vincent_van_gogh/883d9c9f4a83098f275d954695fd6e74.jpg
31|2D|1882|Watercolour, Pencil, Pen, Ink|Paper, Board|Unknown|14.875 x 22 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/2b56f839ed550abcb636e2f3377de098.jpg|The 'Laakmolen' near The Hague (The Windmill)|VINCENT VAN GOGH|images/vincent_van_gogh/2b56f839ed550abcb636e2f3377de098.jpg
32|2D|1884|Oil|Canvas|Unknown|41 x 30.5 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/4f0c6307a75a8d4bbdea1e0e58aba88f.jpg|Head of a Peasant Woman: Right Profile (Kopf einer Bäuerin: Profil nach rechts).|VINCENT VAN GOGH|images/vincent_van_gogh/4f0c6307a75a8d4bbdea1e0e58aba88f.jpg
33|2D|1887|Oil|Canvas|Unknown|16.375 x 13.75 inch|https://artbnk-art-images.s3.amazonaws.com/3bf10fddd7aa08d89a85aa5fadae9254.jpg|FEMME DANS UN CHAMP DE BLÉ|VINCENT VAN GOGH|images/vincent_van_gogh/3bf10fddd7aa08d89a85aa5fadae9254.jpg
34|2D|1888|Oil|Canvas|Unknown|36.125 x 28.875 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/a8680baabad1677e48790dfd9d7efe33.jpg|L'ALLÉE DES ALYSCAMPS|VINCENT VAN GOGH|images/vincent_van_gogh/a8680baabad1677e48790dfd9d7efe33.jpg
35|2D|1882|Watercolor, Graphite, Pen, Ink|Wove paper, Cardboard |Unknown|14.25 x 20.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/8c4e0c29c17c505e36e2745c34a33373.jpg|LA DROGUERIE DE LIMANDES, SCHEVENINGEN|VINCENT VAN GOGH|images/vincent_van_gogh/8c4e0c29c17c505e36e2745c34a33373.jpg
36|2D|1890|Oil|Canvas|Unknown|26 x 20.125 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/291190be755397e2b0efb2f1eb560487.jpg|NATURE MORTE, VASE AUX MARGUERITES ET COQUELICOTS|VINCENT VAN GOGH|images/vincent_van_gogh/291190be755397e2b0efb2f1eb560487.jpg
37|2D|1883|Oil|Canvas|Unknown|31 x 44 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/4d0c4ca25a780beffa64ae783ad316d7.jpg|PRAIRIE AVEC DES VACHES|VINCENT VAN GOGH|images/vincent_van_gogh/4d0c4ca25a780beffa64ae783ad316d7.jpg
38|2D|1884|Oil|Canvas|Unknown|13.75 x 18.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/6259110c845542626d51d6e81dedbdb5.jpg|Oude Toren bij Zonsondergang|VINCENT VAN GOGH|images/vincent_van_gogh/6259110c845542626d51d6e81dedbdb5.jpg
39|2D|1884|Oil|Canvas, Panel|Unknown|13.125 x 10.125 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/6946550a02409365ebb49b397ddf6a49.jpg|TÊTE DE PAYSANNE À LA COIFFE BLANCHE|VINCENT VAN GOGH|images/vincent_van_gogh/6946550a02409365ebb49b397ddf6a49.jpg
40|2D|1882|Charcoal|Paper|Unknown|23.9 x 35.2 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/c2be7366c684b240e72e76100074e7d7.jpg|BACK YARDS WITH TWO FIGURES|VINCENT VAN GOGH|images/vincent_van_gogh/c2be7366c684b240e72e76100074e7d7.jpg
41|2D|1889|Oil|Canvas|Unknown|66 x 51 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/47d465acdf1537b713309ccd8246d677.jpg|L'HOMME EST EN MER|VINCENT VAN GOGH|images/vincent_van_gogh/47d465acdf1537b713309ccd8246d677.jpg
42|2D|1883|Pen, Ink, Pencil|Paper|Unknown|20.7 x 13.5 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/dfc7bd3c732ce5e42ddf291ade103619.jpg|VIEW FROM THE WINDOW OF VINCENT'S STUDIO|VINCENT VAN GOGH|images/vincent_van_gogh/dfc7bd3c732ce5e42ddf291ade103619.jpg
43|2D|1882|Gouache, Watercolour, Pencil|Paper|Unknown|40 x 59.5 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/1d51cb5ca8446fcefb788a4510681759.jpg|VIEW FROM THE WINDOW OF VINCENT'S STUDIO IN WINTER|VINCENT VAN GOGH|images/vincent_van_gogh/1d51cb5ca8446fcefb788a4510681759.jpg
44|2D|1882|Pencil, Pen, Ink, white|Paper, Card|Yes|29 x 45.5 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/ad9a9bd8efebe2f4689359291390af9a.jpg|HOUSES SEEN FROM THE BACK WINDOW OF SIEN'S MOTHER'S HOUSE|VINCENT VAN GOGH|images/vincent_van_gogh/ad9a9bd8efebe2f4689359291390af9a.jpg
45|2D|1883|Oil|Panel|Unknown|31 x 39 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/07cbb04b41be8e4af555ad97f41d720f.jpg|L'ALLÉE AUX DEUX PROMENEURS|VINCENT VAN GOGH|images/vincent_van_gogh/07cbb04b41be8e4af555ad97f41d720f.jpg
46|2D|1884|Oil|Canvas, Panel|Unknown|44.9 x 58.5 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/86beba25e08d47f3bc20954b342b93e1.jpg|WATER MILL AT OPWETTEN|VINCENT VAN GOGH|images/vincent_van_gogh/86beba25e08d47f3bc20954b342b93e1.jpg
47|2D|1885|Black Chalk|Paper|Unknown|11 x 14.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/bece6377536683224fc438113b8e24b7.jpg|PEASANT WOMAN REELING YARN|VINCENT VAN GOGH|images/vincent_van_gogh/bece6377536683224fc438113b8e24b7.jpg
