|Category|Year Created|Surface|Substrate|Signature|Image Size|img_url|Title|Artist Name|image_file
363|2D|1878|Oil|Canvas|Yes|14 x 29.125 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/80ffe3bfa5ad68b5c877723cb95068a3.jpg|Le Village de Lavacourt|CLAUDE MONET|images/claude_monet/80ffe3bfa5ad68b5c877723cb95068a3.jpg
364|2D||Pencil, Pastel|grey paper|Unknown|18.5 x 11.375 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/69242d285560701bcf9209cfe5623f53.jpg|Ecossais à la pipe|CLAUDE MONET|images/claude_monet/69242d285560701bcf9209cfe5623f53.jpg
365|2D||Pencil|Paper|Yes|18.875 x 11.375 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/859ebe4dfc9d56419e479966c65ac60a.jpg|Jeune homme à la chevelure romantique|CLAUDE MONET|images/claude_monet/859ebe4dfc9d56419e479966c65ac60a.jpg
366|2D||Oil|Canvas|Yes|25.5 x 32 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/4ef471a569e322720b256212d13d55ce.jpg|Le chemin de halage à Granval|CLAUDE MONET|images/claude_monet/4ef471a569e322720b256212d13d55ce.jpg
367|2D||Oil|Canvas|Yes|35.125 x 36.125 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/64755eb82ec94bc4ede8ee2569fc737f.jpg|Matinée sur la Seine, près de Giverny|CLAUDE MONET|images/claude_monet/64755eb82ec94bc4ede8ee2569fc737f.jpg
368|2D||Oil|Canvas|Yes|29.25 x 36.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/145c6a1b28d5e191c9d52e8d022e9bd7.jpg|Cap Martin|CLAUDE MONET|images/claude_monet/145c6a1b28d5e191c9d52e8d022e9bd7.jpg
369|2D||Oil|Canvas|Yes|25.5 x 39.375 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/c7d8d2db3c0bd168339adf1aa024b05c.jpg|La falaise près de Dieppe|CLAUDE MONET|images/claude_monet/c7d8d2db3c0bd168339adf1aa024b05c.jpg
370|2D||Oil|Canvas|Unknown|78.75 x 70.875 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/c5106e5f4e1294343ba88868abab051a.jpg|Nymphéas|CLAUDE MONET|images/claude_monet/c5106e5f4e1294343ba88868abab051a.jpg
371|2D||Oil|Canvas|Yes|23.75 x 31.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/9dfd3caaa8f112a92d11a8e5483decb9.jpg|Vétheuil, vu de l'île Saint-Martin|CLAUDE MONET|images/claude_monet/9dfd3caaa8f112a92d11a8e5483decb9.jpg
372|2D||Pastel, Charcoal|Paper|Unknown|11.5 x 19 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/b57b673eca4688b73eef578af72f0294.jpg|Honfleur, la grève en aval|CLAUDE MONET|images/claude_monet/b57b673eca4688b73eef578af72f0294.jpg
373|2D|1885|Oil|Canvas|Yes|29.25 x 29.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/e36c3d610e6c9d688ede846ce9779741.jpg|Bennecourt|CLAUDE MONET|images/claude_monet/e36c3d610e6c9d688ede846ce9779741.jpg
374|2D|1895|Oil|Canvas|Yes|25.75 x 39.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/3331a6bf3c323691503d211e2d48d6d8.jpg|Mont Kolsaas, temps brumeux|CLAUDE MONET|images/claude_monet/3331a6bf3c323691503d211e2d48d6d8.jpg
375|2D|1918|Oil|Canvas|Yes|31.5 x 36.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/cad49531db0c75266da5e22e40e2029e.jpg|Le Pont japonais|CLAUDE MONET|images/claude_monet/cad49531db0c75266da5e22e40e2029e.jpg
376|2D|1925|Oil|Canvas|Yes|28.875 x 36.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/ce3ef2dff86795d0e672bdf1898ac89b.jpg|La maison dans les roses|CLAUDE MONET|images/claude_monet/ce3ef2dff86795d0e672bdf1898ac89b.jpg
377|2D|1884|Oil|Canvas|Yes|35.625 x 45.125 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/26fc8c0743a1b5139bc674bff6895e8f.jpg|Dolceacqua|CLAUDE MONET|images/claude_monet/26fc8c0743a1b5139bc674bff6895e8f.jpg
378|2D|1881|Oil|Canvas|Yes|24 x 31 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/dee534cdbed644c30fe0392edfbf8b73.jpg|Falaise près de Fécamp|CLAUDE MONET|images/claude_monet/dee534cdbed644c30fe0392edfbf8b73.jpg
379|2D|1889|Oil|Canvas|Yes|32.625 x 32.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/37a387f644c820ebff534b174fb819da.jpg|La Creuse, soleil couchant|CLAUDE MONET|images/claude_monet/37a387f644c820ebff534b174fb819da.jpg
380|2D|1871|Oil|Canvas|Yes|19 x 29 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/37dc0606ad67ee4a4f14c3955b48ef81.jpg|Moulin en Hollande|CLAUDE MONET|images/claude_monet/37dc0606ad67ee4a4f14c3955b48ef81.jpg
0|2D|1909|Oil|Canvas|Yes|47.5 x 43.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/e6159c40991b6bd31c2ee6ede921f964.jpg|HAGE I KRAGERØ (GARDEN IN KRAGERØ)|EDVARD MUNCH|images/edvard_munch/e6159c40991b6bd31c2ee6ede921f964.jpg
1|2D|1923|Oil|Canvas|Yes|39.5 x 49.375 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/226f885abbc2a26c13f3c0f6ce4a6edb.jpg|VÅRLANDSKAP (SPRING LANDSCAPE)|EDVARD MUNCH|images/edvard_munch/226f885abbc2a26c13f3c0f6ce4a6edb.jpg
2|2D Edition|1915|Woodcut print|Paper|Yes|37.8 x 46.7 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/57a1566f150b7a93962fd6bd47ce7e82.jpg|MELANCHOLY III|EDVARD MUNCH|images/edvard_munch/57a1566f150b7a93962fd6bd47ce7e82.jpg
3|2D|1891|Oil|Canvas|Yes|15.5 x 26.125 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/4be1b3aad2cdede667ed6676f8ed370f.jpg|Sommeraften i Åsgårdstrand|EDVARD MUNCH|images/edvard_munch/4be1b3aad2cdede667ed6676f8ed370f.jpg
4|2D|1904|Oil|Canvas|Yes|22.625 x 26.875 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/87d078d704d80cb4d9ed49f884683120.jpg|Badende gutter|EDVARD MUNCH|images/edvard_munch/87d078d704d80cb4d9ed49f884683120.jpg
5|2D|1916|Oil, Oilstick|Canvas|Unknown|31.625 x 23.625 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/ae6195801414411148049b1650a14a2e.jpg|STÅENDE KVINNEAKT (STANDING NUDE)|EDVARD MUNCH|images/edvard_munch/ae6195801414411148049b1650a14a2e.jpg
6|2D|1898|Oil|Canvas|Unknown|30.75 x 46.875 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/672d56d649b854c2ca2ae2bc5ea15265.jpg|Tragedie|EDVARD MUNCH|images/edvard_munch/672d56d649b854c2ca2ae2bc5ea15265.jpg
7|2D|1905|Woodcut|Paper|Unknown|68.4 x 45.7 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/268518f47982d48b8b5ca9c74a16dc34.jpg|Der Urmensch.|EDVARD MUNCH|images/edvard_munch/268518f47982d48b8b5ca9c74a16dc34.jpg
8|2D|1904|Oil|Canvas|Yes|26.5 x 37.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/a11ac3ad9f7057e10ab33b2fbba74d85.jpg|Kystlandskap|EDVARD MUNCH|images/edvard_munch/a11ac3ad9f7057e10ab33b2fbba74d85.jpg
9|2D|1899|Woodcut|Japon paper, Pencil|Yes|16.625 x 20.375 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/f36732d4bf5df7e77dfe755b2388ec5f.jpg|Badendes Weib (Woman Bathing)|EDVARD MUNCH|images/edvard_munch/f36732d4bf5df7e77dfe755b2388ec5f.jpg
10|2D|1902|Oil|Canvas|Yes|115.5 x 101.5 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/ddde8a71c05048c7824e5d87053c96b6.jpg|SOMMERNATT (SUMMER NIGHT)|EDVARD MUNCH|images/edvard_munch/ddde8a71c05048c7824e5d87053c96b6.jpg
11|2D|1915|Oil|Canvas|Unknown|25.125 x 34.375 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/cb33a624d8b37b9f2e530c3da2ed89a2.jpg|BADENDE PÅ SVABERG (BATHERS ON ROCKS)|EDVARD MUNCH|images/edvard_munch/cb33a624d8b37b9f2e530c3da2ed89a2.jpg
