|Category|Year Created|Surface|Substrate|Signature|Image Size|img_url|Title|Artist Name|Date of Sale|Est|Sold|image_file
850|2D||Pen, Ink|Paper|Yes|22.25 x 17.375 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/f974b2a919d362954b010fa2dbcbc2df.jpg|Etude de nus|HENRI MATISSE|May 5, 2005|14,000 - 18,000 USD|14,400 USD|images/henri_matisse/f974b2a919d362954b010fa2dbcbc2df.jpg
851|2D||Black Chalk|Paper|Yes|20.75 x 16 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/6742ce8d388b7b4ada459262e1ce05e1.jpg|Femme aux bracelets|HENRI MATISSE|May 5, 2005|80,000 - 120,000 USD|216,000 USD|images/henri_matisse/6742ce8d388b7b4ada459262e1ce05e1.jpg
852|2D||Pencil|Paper|Unknown|9.875 x 12.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/1267bfd80feaa6ee2464670c3768b010.jpg|Nu Rose|HENRI MATISSE|May 5, 2005|50,000 - 70,000 USD|96,000 USD|images/henri_matisse/1267bfd80feaa6ee2464670c3768b010.jpg
853|2D||Charcoal|Paper|Yes|15.75 x 11.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/a6f7818d83318fbbad597187e1aedb55.jpg|Portrait de Paul|HENRI MATISSE|May 5, 2005|150,000 - 200,000 USD|120,000 USD|images/henri_matisse/a6f7818d83318fbbad597187e1aedb55.jpg
854|2D||Conte crayon|Paper|Yes|20.625 x 16 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/74cf237ad988d8ef049e729dd9f5a85b.jpg|Thème O Variation 18|HENRI MATISSE|May 5, 2005|140,000 - 180,000 USD|419,200 USD|images/henri_matisse/74cf237ad988d8ef049e729dd9f5a85b.jpg
855|2D|1920|Oil|Canvas|Yes|15 x 18.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/a12ff9f4846b1d8f05cb66734d4f9858.jpg|Falaises d'amont à Etretat|HENRI MATISSE|May 4, 2005|600,000 - 800,000 USD|912,000 USD|images/henri_matisse/a12ff9f4846b1d8f05cb66734d4f9858.jpg
856|2D|1947|Brush, India Ink|Paper|Yes|30 x 22 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/8a5a1690052ac58baf94466a2edbaa7c.jpg|Figure féminine et fruits|HENRI MATISSE|May 4, 2005|700,000 - 900,000 USD|688,000 USD|images/henri_matisse/8a5a1690052ac58baf94466a2edbaa7c.jpg
857|2D|1948|Aquatint|Pencil|Yes|17 x 13.875 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/58c6c09ce4008885ff16f0351f7752a9.jpg|Nadia au profil aigu (D. 810)|HENRI MATISSE|May 4, 2005|20,000 - 30,000 USD|28,800 USD|images/henri_matisse/58c6c09ce4008885ff16f0351f7752a9.jpg
858|2D|1948|Aquatint|Pencil|Yes|17.063 x 13.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/64b563fcff82cb16a2d8dd5c48adabef.jpg|Nadia au visage rond (D. 808)|HENRI MATISSE|May 4, 2005|20,000 - 25,000 USD|21,600 USD|images/henri_matisse/64b563fcff82cb16a2d8dd5c48adabef.jpg
859|2D|1904|Oil|Canvas|Yes|29 x 23.625 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/925b2291a6d58f28cc118e22a59a930a.jpg|Pierre au cheval de bois|HENRI MATISSE|May 4, 2005|1,500,000 - 2,000,000 USD|1,920,000 USD|images/henri_matisse/925b2291a6d58f28cc118e22a59a930a.jpg
